codine,mun,tasa,tasanum,tasatxt,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022,2023,2024
29028,Benaoján,"2910,0",290999,"2.910,0",,,,,,"9,07",,,"2767,85","69,29",,,"71,19",,,"57,08","14,28","66584,61",,,,,,"266,29"
29063,Jimera de Líbar,"1388,4",138837,"1.388,4",,,"1123,34",,,,,,"5051,3","43,29",,"677,46","652,31","54,35",,,,"19876,96",,,,"339,23",,"5502,73"
29032,Campillos,"666,4",66641,"666,4","981,64",,,,,,"28,4",,"12,83","205,65","44,93","228,95","0,84",,,"0,36","161,53","13785,75","0,55","525,79",,"0,64",,"16,08"
29024,Benalauría,"649,9",64994,"649,9",,,,,,,,,"6253,44","3028,29",,,,,,,"419,53","4775,89",,"21,62",,,,"1099,9"
29026,Benamargosa,"510,2",51021,"510,2",,,,"3285,2",,,,,,,"82,88","526,15",,,,,,,,,,,,"8350,86"
29052,Faraján,"422,4",42236,"422,4",,,,,,,,,"194,68",,,,,,,,,"9600,72",,"341,23",,,,
29012,Álora,"405,8",40578,"405,8","3,6",,"130,91","34,93",,,"31,21","87,39","3,51","19,74","23,05","2369,18",,,,"54,13","18,33","4678,5","5,16",,,,,"2279,03"
29089,Teba,"322,8",32282,"322,8",,,,,,,,,"196,16","39,54",,"33,39","6,24",,,"10,09","274,09","6174,49",,"382,34",,,,"631,3"
29097,Villanueva del Trabuco,"267,9",26787,"267,9",,,"0,32",,,,"85,35","269,73","9,24","16,16","4,79","5045,45","239,51",,,,,"9,24","749,11",,,,,
29082,Rincón de la Victoria,"253,1",25313,"253,1","1624,2","2,13","2,55","4322,68","3,4","13,67","2,62","8,43","0,8","26,57",,"8,68",,"0,06","0,73","1,86","2,65","9,05","14,29","1,47","19,17","1,38",,"8,89"
29093,Valle de Abdalajís,"224,1",22406,"224,1",,,,"20,6",,,"71,5",,,"388,86",,"4380,11",,,,,,,,,,,,"516,33"
29056,Gaucín,"221,8",22180,"221,8",,,,,,,,,"617,29","283,61",,,,,,,,"2693,8",,,,"223,33",,"1505,12"
29088,Sierra de Yeguas,"202,6",20260,"202,6","2181,35",,,,,,"194,34",,"42,6","6,3",,"335,3",,"0,4",,,"0,31","1785,06","19,76",,,,"296,92",
29046,Cortes de la Frontera,"190,5",19055,"190,5",,,,,,,,,"961,46","12,54",,,"6,91",,,"5,35",,"3479,84",,,,"7,83",,"99,21"
29018,Ardales,"159,1",15908,"159,1",,,"7,46",,,,,,,"35,05",,,,,"15,75",,"6,56","3127,33",,"12,64",,"48,68",,"564,4"
29041,Casares,"158,6",15861,"158,6",,,"39,04",,,"106,1","590,25","23,88","11,55","479,41",,"87,85","11,59",,"9,76","1900,68","3,61","535,82",,,,"6,04",,"1,17"
29073,Monda,"142,9",14286,"142,9",,,"12,23","18,15",,"6,02",,,"52,47",,,,,,,"22,16",,"2983,86","99,11","16,34","14,59",,,"203,8"
29011,Almogía,"137,1",13715,"137,1","47,92",,"61,66",,,,,,"48,38","3,24",,"185,87",,,,"61,26",,"162,3",,"144,76",,,,"2576,14"
29038,Cártama,"137,0",13701,"137,0","4,26",,"88,59","167,97",,"4,33",,,,"191,41","179,77","466,91","1,57",,,"789,11","0,46","64,8","64,91","155,53","14,98",,,"1093,68"
29064,Jubrique,"136,5",13651,"136,5",,,"150,84",,,"334,88",,,"181,45","174,02",,"1292,06",,,"79,88",,,"1063,04",,,,,,
29068,Manilva,"126,3",12628,"126,3",,,,,,"11,34","396,8",9,"8,95","887,34","6,97","10,21",,,"12,52","1669,05","2,35","11,04",,,"4,4","0,75",,
29002,Alcaucín,"121,0",12100,"121,0",,,,"13,37",,"195,73",,,"61,75","2475,15",,"78,92",,,,,,"2,84","2,95",,,,,"73,27"
29007,Alhaurín de la Torre,"118,6",11862,"118,6","82,79","0,99","28,06","200,65",,41,"24,3","1,23","11,14","474,04","116,54","147,62","0,06","2,77","75,04","827,07","10,7","6,73","94,59","88,47","256,62","1,42",,"355,16"
29096,Villanueva del Rosario,"117,2",11723,"117,2",,,,,,,,"151,03",,,,"2432,44",,,,,,"29,1","196,67",,"4,37",,,
29044,Comares,"110,9",11086,"110,9",,,,"36,55",,,,,,,"38,24","84,6",,,,,,"38,62",,,,,,"2462,71"
29065,Júzcar,"108,6",10856,"108,6",,,"190,03",,,,,,"1370,98",,,"879,71",,,"164,82",,,,,,,,,
29013,Alozaina,"107,6",10757,"107,6",,,,,,,"41,19","51,28",,"1139,71",,"912,83",,"77,18",,"343,34",,"16,19",,,,,,
29069,Marbella,"102,4",10244,"102,4","5,7","0,51","14,07","158,82","0,1","160,19",68,"8,3","13,9","215,8","320,4","1,15","0,7","68,53","1,89","952,18","4,04","303,39","18,68","10,22","44,19","2,18","7,38","78,21"
29070,Mijas,"101,5",10145,"101,5","18,78","17,98","248,02","59,72","12,8","104,99","62,94","90,7","17,38","711,7","18,24","4,03","0,31","95,02","2,38","569,29","16,42",5,"0,9","2,4","371,33","0,85","0,59","3,08"
29036,Carratraca,"98,8",9882,"98,8",,,"73,8",,,,,,,,,,,,,"55,89",,"1639,69",,,,,,"602,24"
29010,Almargen,"98,6",9856,"98,6",,,,,,,,,"58,65","2183,06",,,,,,,,"123,74",,,,,,
29084,Ronda,"89,9",8988,"89,9","9,84","2,45","2,06",,,,"4,8","0,82","489,97","92,02","40,01","173,4","27,41","21,9","13,78","20,8","0,31","1158,62","1,22","50,33",,"3,89","0,38","43,06"
29017,Archidona,"85,1",8513,"85,1",,,"3,63","45,17",,"9,05","15,55","24,53","61,28","53,7","17,32","1206,11","1,85",,,"1,54",,"43,35","547,91",,,,,"12,12"
29037,Cartajima,"83,3",8330,"83,3",,,,,,,,,,,,"417,07",,,"988,26","102,63",,"491,18",,,,,,
29087,Sedella,"83,3",8328,"83,3",,,,,,,,,"1998,81",,,,,,,,,,,,,,,
29040,Casarabonela,"80,9",8093,"80,9",,,,"318,3",,"4,36",,,,"1190,45",,,,,,"55,89",,"311,11",,"9,52",,,,"52,76"
29051,Estepona,"75,0",7504,"75,0","18,55",,"1,42","8,26","27,2","14,31","293,65","16,1","5,36","298,15","83,91","3,65","0,78","1,87","11,1","662,84","1,43","271,27",,"1,73","13,55","8,46","0,31","56,95"
29042,Coín,"73,4",7337,"73,4","1,01",,"186,29","8,88",,"64,27","43,7","7,28","17,98","231,45","3,09","11,33","0,2","0,75","9,89","390,39","3,07","430,18","183,67","87,58","10,18","0,42","0,11","69,18"
29099,Viñuela,"73,0",7304,"73,0",,,,,,,,,,"1556,45",,"8,81",,,,"20,19",,"7,37",,,,,,"160,06"
29047,Cuevas Bajas,"68,6",6859,"68,6",,,,,,"1204,14",,,,"253,21",,"72,62","116,2",,,,,,,,,,,
29090,Tolox,"67,8",6782,"67,8",,,,,,,,,,"1572,97",,"19,78",,,,,,,,,,"21,7",,"13,17"
29008,Alhaurín el Grande,"66,9",6690,"66,9","103,18",,"149,5","48,16",,"13,45","12,49","0,89","38,32","132,62","7,71","42,59","2,42",,"2,73","120,1","16,85","174,3","517,73","121,3",,"1,34","1,98","97,84"
29067,Málaga,"62,0",6202,"62,0","71,24","6,94","72,13","108,18","0,3","66,06","15,33","6,44","164,2","205,57","6,15","171,12","1,04","1,34","23,67","94,77","112,32","26,15","12,83","193,38","6,13","0,31","0,01","122,83"
29023,Benahavís,"60,9",6091,"60,9",,,,"16,66","0,2","1,52","19,23",,"23,79","899,14","73,57","30,06","1,09","0,09",,"287,36","1,46","65,05","1,76","0,3",,"0,67","26,7","13,3"
29050,Cútar,"60,8",6077,"60,8",,,,,,,,,,,,,,"67,33",,,,"159,07",,,,,,"1232,1"
29072,Mollina,"60,2",6020,"60,2",,,"845,27",,,"7,26",,,,"11,94",,"512,56",,,,,"40,57","26,26",,,"0,89",,,
29080,Pizarra,"56,3",5635,"56,3",,,"15,41","137,97",,,"21,44",,,"36,6",,"382,3",,,,"197,42",,"24,7",,,"0,89",,,"535,63"
29075,Nerja,"49,4",4937,"49,4","14,02","0,65","6,37","1,78",,"9,42","970,21","0,15","6,57","1,39","6,39","118,27",,"4,68","2,61","3,52",,"1,19","2,04","0,41","10,56",,,"24,76"
29019,Arenas,"44,6",4462,"44,6",,,,,,,,,"335,03","611,36",,,,,"95,15",,"20,59",,"4,59",,,,,"4,12"
29079,Periana,"44,4",4438,"44,4","40,41",,,"134,31",,,,,"69,33",2,,"386,46","24,05",,,,,,"9,01",,,,,"399,59"
29058,Guaro,"44,3",4429,"44,3",,,,,,,,,"90,36","107,83",,,,,,"79,74",,"676,92","17,16",,,,,"90,89"
29015,Antequera,"44,1",4406,"44,1",26,,"30,39","8,34","4,3","31,07","7,72","9,07","38,35","32,08","7,27","531,49","33,27","0,29","4,02","14,64","18,07","160,21","48,6",,"1,16","17,97",,"32,98"
29009,Almáchar,"44,0",4396,"44,0",,,,"50,53",,,,,,,,"948,84",,,,,,,,,,,,"55,6"
29901,Torremolinos,"42,8",4281,"42,8","204,28","8,8","28,23","138,5","0,2","12,29","14,41","28,47","41,98","156,64","0,97","2,38","0,13","1,19","184,23","7,4","7,55","5,7","67,44","69,86","0,17","1,3","0,08","45,14"
29092,Totalán,"40,7",4070,"40,7",,,,"879,42",,,,,,,,,,,,,,,,"97,44",,,,
29031,El Burgo,"40,5",4047,"40,5",,,,,,,,,"64,8",,,,,,,,,"841,04",,,,"65,48",,
29020,Arriate,"40,4",4043,"40,4","6,88",,,,,,"10,94",,"234,39","111,11",,"251,92","18,57","5,69",,,,"314,13",,"1,71",,"4,06",,"10,82"
29057,Genalguacil,"39,6",3958,"39,6",,,,,,,,,,,,"553,17",,,,,,"244,25",,,,"152,58",,
29003,Alfarnate,"39,4",3935,"39,4","415,56",,,,,,,,"515,28",,,,,,,"13,58",,,,,,,,
29022,Benadalid,"38,6",3857,"38,6",,,,,,"212,91",,,,,,,,,,,,,,,,"278,13",,"434,73"
29045,Cómpeta,"38,6",3857,"38,6",,,,"11,65",,,"1,87",,"671,62","132,6",,"4,44",,,"17,22",,,,,,,,,"86,29"
29902,Villanueva de la Concepción,"36,1",3610,"36,1","112,74",,,,,,"40,89",,,,,"66,32",,,,"17,21",,"245,75","95,25",,,,,"288,19"
29059,Humilladero,"35,7",3573,"35,7","2,44","21,56","25,8",,,,"80,28",,,,,"258,06",,,"9,3",,,"450,2",,,"9,9",,,
29076,Ojén,"32,9",3287,"32,9",,,,"3,33",,"57,79",,,"33,42","192,3","87,99",,,"8,87",,"156,52",,"164,52","7,77","10,1",,"0,71",,"65,67"
29043,Colmenar,"32,8",3283,"32,8",,,,"249,96",,,"11,79",,"17,81","52,9",,"102,53",,,,,,"48,96",,,,,,"304,02"
29004,Alfarnatejo,"32,3",3231,"32,3",,,,,,,,,"73,37",,,"198,38",,,,,,"86,89",,,,,,"416,89"
29035,Cañete la Real,"31,6",3159,"31,6",,,,,,,,,,"269,85",,,"120,65",,,,,"238,01",,,,,,"129,54"
29054,Fuengirola,"30,5",3051,"30,5","0,5","44,34","424,4","19,27","6,1","18,45","38,67","16,67","12,03","33,29","1,35","4,8","0,72","31,39","4,23","58,43","5,39","1,47","1,3","2,71","3,23","0,11","1,39","2,06"
29053,Frigiliana,"29,4",2943,"29,4","16,81",,,,,,"429,77","4,58","19,34","8,52",,"96,71",,,"56,07",,,,,,,,,"74,4"
29061,Istán,"25,9",2592,"25,9",,,,,,,,,,"98,38","37,62",,,,,"486,11",,,,,,,,
29039,Casabermeja,"25,4",2544,"25,4",,,"26,39","8,89",,,,"3,98","128,77","29,14",,"336,32","1,54",,,"4,41","1,06","1,58",,,,"5,42",,"63,11"
29066,Macharaviaya,"25,0",2501,"25,0","404,04",,,,,,,,,,,"196,24",,,,,,,,,,,,
29025,Benalmádena,"24,7",2467,"24,7",304,"19,14","12,72","40,5",,"21,69","1,33","7,39","7,61","43,39","2,11","1,08","0,31","1,37","5,06","13,44","7,82","5,64","22,17","8,58","0,21","0,04","0,07","66,45"
29100,Yunquera,"20,5",2055,"20,5",,,,,,,,,"413,02",,,,,,,,,"80,08",,,,,,
29060,Igualeja,"16,1",1610,"16,1",,,,,,,,,,"261,21",,"73,73",,,"51,41",,,,,,,,,
29034,Canillas de Albaida,"15,6",1555,"15,6",,,,,,,,,"219,44","61,65",,,,,"92,16",,,,,,,,,
29033,Canillas de Aceituno,"15,4",1536,"15,4",,,,,,,,,,,,"299,26",,,,,,,"28,23",,,,,"41,06"
29094,Vélez-Málaga,"14,1",1411,"14,1","43,28","11,03","0,77","17,04",,"40,03","6,87","7,47","1,77","15,63","0,55","17,28","1,24","15,19","1,74","4,24","1,72","41,88","14,45","0,92",,"1,67",,"93,77"
29091,Torrox,"14,0",1400,"14,0","1,14","0,77",,,,,"65,6","2,56","106,17","59,72","2,99","6,19",,"3,93","7,82","16,39",,"6,8",,,"0,13","0,16",,"55,59"
29055,Fuente de Piedra,"13,2",1317,"13,2",,,,,,"112,49","75,57",,,,,"2,08",,,,,,"114,28",,,,,,"11,59"
29095,Villanueva de Algaidas,"12,3",1233,"12,3",,,,,"10,0","161,87",,,,"16,22",,"29,32",,,,,"56,67","0,67",,,,,,"21,14"
29001,Alameda,"12,2",1219,"12,2",,,,"30,61",,,"10,38",,,,,"246,54",,,,,"5,03",,,,,,,
29029,Benarrabá,"11,3",1133,"11,3",,,,,,,,,,,,,,,,,,"224,76",,,,"47,04",,
29006,Algatocín,"11,2",1122,"11,2",,,,,,,,,,,,,"48,5","163,18",,,,"57,55",,,,,,
29083,Riogordo,"10,1",1014,"10,1",,,,,,,,,,,"159,79","3,29",,,,,,,,,,,,"80,39"
29086,Sayalonga,"9,4",939,"9,4",,"2,06",,,,,,"23,13",,"120,47",,"6,85",,,"72,89",,,,,,,,,
29030,El Borge,"9,1",907,"9,1",,,,,,,,,,"68,07",,,,,,,,"149,65",,,,,,
29074,Montejaque,"8,1",812,"8,1","33,44",,,,,,,,"24,67","18,16",,,,,,,,,,,,,,"118,49"
29016,Árchez,"6,5",651,"6,5",,,,,,,,,,"21,58",,,,,"134,64",,,,,,,,,
29098,Villanueva de Tapia,"5,4",542,"5,4",,,,,,,,,,"11,73",,"106,07",,,,,,,"12,37",,,,,
29014,Alpandeire,"3,5",348,"3,5",,,,,,,,,,,,"27,07",,,"1,76",,,"54,59",,,,,,
29081,Pujerra,"3,2",315,"3,2",,,,,,,,,,,,,,,"31,48",,,"44,12",,,,,,
29005,Algarrobo,"2,9",286,"2,9","3,51",,,,,,"10,19","2,18",,"3,09",,,,,"20,69",,,"29,05",,,,,,
29049,Cuevas de San Marcos,"2,1",212,"2,1",,,"5,73",,,"17,76",,,,,,"12,96",,,,,"11,11","3,21",,,,,,
29027,Benamocarra,"2,1",210,"2,1","24,08",,,,,,,,,,,"15,85",,,,,,,,,,,,"10,57"
29048,Cuevas del Becerro,"0,2",16,"0,2",,,,,,,,,,,,,,,,,,"3,82",,,,,,
29071,Moclinejo,"0,0",0,"0,0",,,,0,,,,,,,,0,,,0,,,,,0,,,,0
